trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.99, 'e': 78.54220567156102}",20,0,-212.35082501739703,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
94,False,"{'a': 0.99, 'e': 77.7567836148454}",20,0,-17.238791768941578,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
95,False,"{'a': 0.99, 'e': 76.97921577869695}",20,0,-167.84165592810714,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.99, 'e': 76.20942362090999}",20,0,-136.3898899434949,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
97,False,"{'a': 0.99, 'e': 75.4473293847009}",30,0,-90.46683870768696,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
98,False,"{'a': 0.99, 'e': 74.69285609085388}",25,0,-123.63507115419277,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.99, 'e': 73.94592752994534}",25,0,-57.4901029799059,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.99, 'e': 73.20646825464588}",20,0,-147.8198707187149,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
101,False,"{'a': 0.99, 'e': 72.47440357209942}",25,0,-125.3286861483589,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
102,False,"{'a': 0.99, 'e': 71.74965953637843}",20,0,-19.386582666569947,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.99, 'e': 71.03216294101465}",20,0,-55.838620165036744,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
104,False,"{'a': 0.99, 'e': 70.3218413116045}",20,0,-100.2404032420818,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.99, 'e': 69.61862289848845}",35,0,-127.80072427728139,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
106,False,"{'a': 0.99, 'e': 68.92243666950357}",20,0,-130.10639405276697,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
107,False,"{'a': 0.99, 'e': 68.23321230280854}",25,0,-113.6379956387142,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
108,False,"{'a': 0.99, 'e': 67.55088017978045}",25,0,-118.27393301694626,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
109,False,"{'a': 0.99, 'e': 66.87537137798265}",20,0,-130.2246596809811,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
110,False,"{'a': 0.99, 'e': 66.20661766420282}",20,0,-57.718505893151274,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
111,False,"{'a': 0.99, 'e': 65.5445514875608}",25,7,-38.54815541974006,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
112,False,"{'a': 0.99, 'e': 64.88910597268519}",25,0,-139.3209541466005,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
113,False,"{'a': 0.99, 'e': 64.24021491295834}",20,0,-91.97994902399232,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.99, 'e': 63.59781276382875}",20,0,-90.92298441967259,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
115,False,"{'a': 0.99, 'e': 62.96183463619046}",20,0,-37.23573252797361,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.99, 'e': 62.33221628982856}",20,0,-106.21110211263391,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
117,False,"{'a': 0.99, 'e': 61.708894126930275}",20,0,-135.36629517597694,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
118,False,"{'a': 0.99, 'e': 61.091805185660974}",30,0,-167.23475299987876,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
